Date,Name,Year,Letterboxd URI,Rating
2023-05-25,John Wick: Chapter 4,2023,https://boxd.it/mh48,3
2023-05-25,A Separation,2011,https://boxd.it/gvo,4
2023-05-27,The Thing,1982,https://boxd.it/294O,2
2023-05-27,School of Rock,2003,https://boxd.it/28xK,4
2023-06-03,Dr. Caligari,1989,https://boxd.it/1cbG,2
2023-06-03,Scream,1996,https://boxd.it/24EC,4
2023-06-03,Hellraiser,2022,https://boxd.it/bg7S,2
2023-06-05,Alien,1979,https://boxd.it/2awY,4
2023-06-06,Speed Racer,2008,https://boxd.it/20UQ,4
2023-06-06,Serpico,1973,https://boxd.it/1ZjE,3
2023-06-07,The Visitor,1979,https://boxd.it/vdO,2
2023-06-07,Crash,2004,https://boxd.it/28q0,1
2023-06-08,Prometheus,2012,https://boxd.it/2s9e,3
2023-06-12,May,2002,https://boxd.it/1V8M,3
2023-06-13,Aliens,1986,https://boxd.it/29PA,2
2023-06-13,Cape Fear,1991,https://boxd.it/28vu,3
2023-06-14,Burn After Reading,2008,https://boxd.it/23BW,3
2023-06-17,The Usual Suspects,1995,https://boxd.it/29XE,2
2023-06-20,TÁR,2022,https://boxd.it/uNIA,3
2023-06-24,Asteroid City,2023,https://boxd.it/s3ds,2
2023-06-25,Triangle,2009,https://boxd.it/1tQG,3
2023-06-26,Aftersun,2022,https://boxd.it/Arw0,5
2023-06-30,Sound of Metal,2019,https://boxd.it/i7Q4,3
2023-07-01,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,3
2023-07-02,Ocean's Eight,2018,https://boxd.it/eaai,3
2023-07-02,Shivers,1975,https://boxd.it/1rPG,2
2023-07-04,12 Angry Men,1957,https://boxd.it/2auI,5
2023-07-04,Crimes of the Future,2022,https://boxd.it/uTuY,1
2023-07-05,Last Night,1998,https://boxd.it/1KLe,4
2023-07-12,Casino,1995,https://boxd.it/2ads,4
2023-07-13,Forrest Gump,1994,https://boxd.it/728,2
2023-07-20,The Long Goodbye,1973,https://boxd.it/281O,3
2023-07-20,El Mariachi,1992,https://boxd.it/1YRq,3
2023-07-23,The Untouchables,1987,https://boxd.it/2b6i,2
2023-07-23,Sorcerer,1977,https://boxd.it/14J6,2
2023-07-27,Natural Born Killers,1994,https://boxd.it/2aNg,4
2023-07-28,Oppenheimer,2023,https://boxd.it/wUow,2
2023-07-28,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2023-07-28,25th Hour,2002,https://boxd.it/28LC,5
2023-07-29,Inside Man,2006,https://boxd.it/2auS,3
2023-08-01,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2023-08-02,Kick-Ass,2010,https://boxd.it/1zaQ,2
2023-08-03,They Cloned Tyrone,2023,https://boxd.it/rE7a,4
2023-08-08,Buffalo '66,1998,https://boxd.it/1YC6,3
2023-08-08,Hollow Man,2000,https://boxd.it/1YP0,2
2023-08-10,Babylon,2022,https://boxd.it/mM02,4
2023-08-10,Everybody Wants Some!!,2016,https://boxd.it/9mgM,5
2023-08-11,Sorry to Bother You,2018,https://boxd.it/f21E,3
2023-08-16,No Hard Feelings,2023,https://boxd.it/xouu,2
2023-08-24,Knight and Day,2010,https://boxd.it/17po,3
2023-08-24,Fatal Attraction,1987,https://boxd.it/1UTC,2
2023-08-25,Point Break,1991,https://boxd.it/2958,4
2023-08-26,8MM,1999,https://boxd.it/20sC,3
